Row 001:  | Not updated yet |  |  |  |  |  |  |  |  |  |  | Last month's |  |  |  | 
Row 002:  |  | eventid | Event Name | Unit | Reward value: PP | Reward value: BP | Total reward value |  |  |  |  | Reward value: PP | Reward value: BP | Total reward value |  | 
Row 005: SUMMARY |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 007:  | Monthly |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 008:  |  | PC & M regular |  | BP | 93871597449547 | 51911856703643 | 145783454153190 | 0.35608881 |  |  |  | 12808348210.0 | 10106263451.0 | 22914611660.0 | 0.44 | 
Row 009:  |  |  | PC REGULAR | BP | 85519513016197 | 50411856703643 | 135931369719840 | 0.370862567 |  |  |  | 11599992916.0 | 9750023689.0 | 21350016604.0 | 0.46 | 
Row 010:  |  |  | Mobile | BP | 8352084433350 | 1500000000000 | 9852084433350 | 0.1522520447 |  |  |  | 1208355294.0 | 356239762.0 | 1564595056.0 | 0.23 | 
Row 011:  |  | PC & M + Web |  | BP | 493530675670767 | 51911856703643 | 545442532374410 | 0.0951738334 |  |  |  | 61848443711.0 | 34225464255.0 | 96073907965.0 | 0.36 | 
Row 012:  |  |  | Web | BP | 399659078221220 | 0 | 399659078221220 | 0 |  |  |  | 49040095501.0 | 24119200804.0 | 73159296305.0 | 0.33 | 
Row 013:  |  | PC & M + Web + SVIP |  | BP | 588626267430844 | 80711856703643 | 669338124134487 | 0.1205845802 |  |  |  | 88778938514.0 | 50810390406.0 | 139589328920.0 | 0.36 | 
Row 014:  |  |  | SVIP | BP | 95095591760077 | 28800000000000 | 123895591760077 | 0.2324537911 |  |  |  | 26930494804.0 | 16584926151.0 | 43515420955.0 | 0.38 | 
Row 016:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 017:  |  | PC & M regular |  | BP | 3028116046760 | 1674576022698 | 4702692069458 |  |  |  |  | 413172523.0 | 326008498.0 | 739181021.0 |  | 
Row 018:  |  |  | PC REGULAR | BP | 2758693968264 | 1626188925924 | 4384882894188 |  |  |  |  | 374193320.0 | 314516893.0 | 688710213.0 |  | 
Row 019:  |  |  | Mobile | BP | 269422078495 | 48387096774 | 317809175269 |  |  |  |  | 38979203.0 | 11491605.0 | 50470808.0 |  | 
Row 020:  |  | PC & M + Web |  | BP | 15920344376476 | 1674576022698 | 17594920399175 |  |  |  |  | 1995111087.0 | 1104047234.0 | 3099158321.0 |  | 
Row 021:  |  |  | Web | BP | 12892228329717 | 0 | 12892228329717 |  |  |  |  | 1581938565.0 | 778038736.0 | 2359977300.0 |  | 
Row 022:  |  | PC & M + Web + SVIP |  | BP | 18987944110672 | 2603608280763 | 21591552391435 |  |  |  |  | 2863836726.0 | 1639044852.0 | 4502881578.0 |  | 
Row 023:  |  |  | SVIP | BP | 3067599734196 | 929032258065 | 3996631992261 |  |  |  |  | 868725639.0 | 534997618.0 | 1403723257.0 |  | 
Row 025:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 026:  |  | PC & M regular |  | USD | 0.2738745886 | 0.1514551663 | 0.4253297549 |  |  |  |  | 0.39 | 0.3 | 0.69 |  | 
Row 027:  |  |  | PC REGULAR | USD | 0.2495070083 | 0.1470788491 | 0.3965858574 |  |  |  |  | 0.35 | 0.29 | 0.64 |  | 
Row 028:  |  |  | Mobile | USD | 0.0243675803 | 0.004376317162 | 0.02874389746 |  |  |  |  | 0.04 | 0.01 | 0.05 |  | 
Row 029:  |  | PC & M + Web |  | USD | 1.439897844 | 0.1514551663 | 1.59135301 |  |  |  |  | 1.87 | 1.03 | 2.9 |  | 
Row 030:  |  |  | Web | USD | 1.166023255 | 0 | 1.166023255 |  |  |  |  | 1.48 | 0.73 | 2.21 |  | 
Row 031:  |  | PC & M + Web + SVIP |  | USD | 1.717343491 | 0.2354804558 | 1.952823947 |  |  |  |  | 2.68 | 1.53 | 4.21 |  | 
Row 032:  |  |  | SVIP | USD | 0.2774456468 | 0.08402528951 | 0.3614709363 |  |  |  |  | 0.81 | 0.5 | 1.31 |  | 
Row 034:  | Composition |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 035:  |  | PC & M regular |  | % | 0.64391119 | 0.35608881 | 1 |  |  |  |  | 0.559 | 0.441 | 1.0 |  | 
Row 036:  |  |  | PC REGULAR | % | 0.629137433 | 0.370862567 | 1 |  |  |  |  | 0.5433 | 0.4567 | 1.0 |  | 
Row 037:  |  |  | Mobile | % | 0.8477479553 | 0.1522520447 | 1 |  |  |  |  | 0.7723 | 0.2277 | 1.0 |  | 
Row 038:  |  | PC & M + Web |  | % | 0.9048261666 | 0.0951738334 | 1 |  |  |  |  | 0.6438 | 0.3562 | 1.0 |  | 
Row 039:  |  |  | Web | % | 1 | 0 | 1 |  |  |  |  | 0.6703 | 0.3297 | 1.0 |  | 
Row 040:  |  | PC & M + Web + SVIP |  | % | 0.8794154198 | 0.1205845802 | 1 |  |  |  |  | 0.636 | 0.364 | 1.0 |  | 
Row 041:  |  |  | SVIP | % | 0.7675462089 | 0.2324537911 | 1 |  |  |  |  | 0.6189 | 0.3811 | 1.0 |  | 
Row 045: INPUT |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 047: 1.0 | PC Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 049:  |  | 10003383.0 |  | BP | 19654940442166 | 1600000000000 | 21254940442166 |  |  |  |  |  |  |  |  | 
Row 050:  |  | 10003384.0 |  | BP | 0 | 3600000000000 | 3600000000000 |  |  |  |  |  |  |  |  | 
Row 051:  |  | 10003385.0 |  | BP | 0 | 3600000000000 | 3600000000000 |  |  |  |  |  |  |  |  | 
Row 052:  |  | 10003386.0 |  | BP | 27967219895165 | 15500000000000 | 43467219895165 |  |  |  |  |  |  |  |  | 
Row 053:  |  | 10003387.0 |  | BP | 10504026393542 | 17360000000000 | 27864026393542 |  |  |  |  |  |  |  |  | 
Row 054:  |  | 10003388.0 |  | BP | 14683739048444 | 1400000000000 | 16083739048444 |  |  |  |  |  |  |  |  | 
Row 055:  |  | 10003389.0 |  | BP | 8738657336128 | 1400000000000 | 10138657336128 |  |  |  |  |  |  |  |  | 
Row 056:  |  | 10003390.0 |  | BP | 0 | 1200000000000 | 1200000000000 |  |  |  |  |  |  |  |  | 
Row 057:  |  | 10003391.0 |  | BP | 0 | 1198003684660 | 1198003684660 |  |  |  |  |  |  |  |  | 
Row 058:  |  | 10003392.0 |  | BP | 0 | 1184027797624 | 1184027797624 |  |  |  |  |  |  |  |  | 
