Row 001:  | Not updated yet |  |  |  |  |  |  |  |  |  |  | Last month's |  |  |  | 
Row 002:  |  | eventid | Event Name | Unit | Reward value: PP | Reward value: BP | Total reward value |  |  |  |  | Reward value: PP | Reward value: BP | Total reward value |  | 
Row 005: SUMMARY |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 007:  | Monthly |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 008:  |  | PC & M regular |  | BP | 59262295542613 | 31354127213044 | 90616422755657 | 0.3460093244 |  |  |  | 12808348210.0 | 10106263451.0 | 22914611660.0 | 0.44 | 
Row 009:  |  |  | PC REGULAR | BP | 54152311855813 | 29854127213044 | 84006439068857 | 0.3553790346 |  |  |  | 11599992916.0 | 9750023689.0 | 21350016604.0 | 0.46 | 
Row 010:  |  |  | Mobile | BP | 5109983686800 | 1500000000000 | 6609983686800 | 0.2269294557 |  |  |  | 1208355294.0 | 356239762.0 | 1564595056.0 | 0.23 | 
Row 011:  |  | PC & M + Web |  | BP | 579985564417160 | 31354127213044 | 611339691630204 | 0.05128756998 |  |  |  | 61848443711.0 | 34225464255.0 | 96073907965.0 | 0.36 | 
Row 012:  |  |  | Web | BP | 520723268874547 | 0 | 520723268874547 | 0 |  |  |  | 49040095501.0 | 24119200804.0 | 73159296305.0 | 0.33 | 
Row 013:  |  | PC & M + Web + SVIP |  | BP | 633399872868518 | 45754127213044 | 679154000081562 | 0.06736929652 |  |  |  | 88778938514.0 | 50810390406.0 | 139589328920.0 | 0.36 | 
Row 014:  |  |  | SVIP | BP | 53414308451358 | 14400000000000 | 67814308451358 | 0.2123445675 |  |  |  | 26930494804.0 | 16584926151.0 | 43515420955.0 | 0.38 | 
Row 016:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 017:  |  | PC & M regular |  | BP | 1911686952988 | 1011423458485 | 2923110411473 |  |  |  |  | 413172523.0 | 326008498.0 | 739181021.0 |  | 
Row 018:  |  |  | PC REGULAR | BP | 1746848769542 | 963036361711 | 2709885131253 |  |  |  |  | 374193320.0 | 314516893.0 | 688710213.0 |  | 
Row 019:  |  |  | Mobile | BP | 164838183445 | 48387096774 | 213225280219 |  |  |  |  | 38979203.0 | 11491605.0 | 50470808.0 |  | 
Row 020:  |  | PC & M + Web |  | BP | 18709211755392 | 1011423458485 | 19720635213878 |  |  |  |  | 1995111087.0 | 1104047234.0 | 3099158321.0 |  | 
Row 021:  |  |  | Web | BP | 16797524802405 | 0 | 16797524802405 |  |  |  |  | 1581938565.0 | 778038736.0 | 2359977300.0 |  | 
Row 022:  |  | PC & M + Web + SVIP |  | BP | 20432253963501 | 1475939587518 | 21908193551018 |  |  |  |  | 2863836726.0 | 1639044852.0 | 4502881578.0 |  | 
Row 023:  |  |  | SVIP | BP | 1723042208108 | 464516129032 | 2187558337141 |  |  |  |  | 868725639.0 | 534997618.0 | 1403723257.0 |  | 
Row 025:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 026:  |  | PC & M regular |  | USD | 0.3273053859 | 0.1731687005 | 0.5004740864 |  |  |  |  | 0.39 | 0.3 | 0.69 |  | 
Row 027:  |  |  | PC REGULAR | USD | 0.2990829695 | 0.1648842074 | 0.4639671769 |  |  |  |  | 0.35 | 0.29 | 0.64 |  | 
Row 028:  |  |  | Mobile | USD | 0.02822241642 | 0.008284493106 | 0.03650690952 |  |  |  |  | 0.04 | 0.01 | 0.05 |  | 
Row 029:  |  | PC & M + Web |  | USD | 3.203257607 | 0.1731687005 | 3.376426307 |  |  |  |  | 1.87 | 1.03 | 2.9 |  | 
Row 030:  |  |  | Web | USD | 2.875952221 | 0 | 2.875952221 |  |  |  |  | 1.48 | 0.73 | 2.21 |  | 
Row 031:  |  | PC & M + Web + SVIP |  | USD | 3.498264587 | 0.2526998343 | 3.750964421 |  |  |  |  | 2.68 | 1.53 | 4.21 |  | 
Row 032:  |  |  | SVIP | USD | 0.2950069801 | 0.07953113382 | 0.3745381139 |  |  |  |  | 0.81 | 0.5 | 1.31 |  | 
Row 034:  | Composition |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 035:  |  | PC & M regular |  | % | 0.6539906756 | 0.3460093244 | 1 |  |  |  |  | 0.559 | 0.441 | 1.0 |  | 
Row 036:  |  |  | PC REGULAR | % | 0.6446209654 | 0.3553790346 | 1 |  |  |  |  | 0.5433 | 0.4567 | 1.0 |  | 
Row 037:  |  |  | Mobile | % | 0.7730705443 | 0.2269294557 | 1 |  |  |  |  | 0.7723 | 0.2277 | 1.0 |  | 
Row 038:  |  | PC & M + Web |  | % | 0.94871243 | 0.05128756998 | 1 |  |  |  |  | 0.6438 | 0.3562 | 1.0 |  | 
Row 039:  |  |  | Web | % | 1 | 0 | 1 |  |  |  |  | 0.6703 | 0.3297 | 1.0 |  | 
Row 040:  |  | PC & M + Web + SVIP |  | % | 0.9326307035 | 0.06736929652 | 1 |  |  |  |  | 0.636 | 0.364 | 1.0 |  | 
Row 041:  |  |  | SVIP | % | 0.7876554325 | 0.2123445675 | 1 |  |  |  |  | 0.6189 | 0.3811 | 1.0 |  | 
Row 045: INPUT |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 047: 1.0 | PC Event |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 049:  |  | 10003383.0 |  | BP | 14750794128488 | 950000000000 | 15700794128488 |  |  |  |  |  |  |  |  | 
Row 050:  |  | 10003384.0 |  | BP | 0 | 2100000000000 | 2100000000000 |  |  |  |  |  |  |  |  | 
Row 051:  |  | 10003385.0 |  | BP | 0 | 2100000000000 | 2100000000000 |  |  |  |  |  |  |  |  | 
Row 052:  |  | 10003386.0 |  | BP | 15725963613180 | 6000000000000 | 21725963613180 |  |  |  |  |  |  |  |  | 
Row 053:  |  | 10003387.0 |  | BP | 10165186832460 | 7500000000000 | 17665186832460 |  |  |  |  |  |  |  |  | 
Row 054:  |  | 10003388.0 |  | BP | 4861158662918 | 1000000000000 | 5861158662918 |  |  |  |  |  |  |  |  | 
Row 055:  |  | 10003389.0 |  | BP | 2066364021026 | 1000000000000 | 3066364021026 |  |  |  |  |  |  |  |  | 
Row 056:  |  | 10003390.0 |  | BP | 0 | 0 | 0 |  |  |  |  |  |  |  |  | 
Row 057:  |  | 10003391.0 |  | BP | 0 | 1882502012319 | 1882502012319 |  |  |  |  |  |  |  |  | 
Row 058:  |  | 10003392.0 |  | BP | 0 | 1892288906258 | 1892288906258 |  |  |  |  |  |  |  |  | 
