f,Duration: 20260601 -20260631,,,,,,,,,,,,,,,,,,,,,,
,Long term,,,,,,,,,,  645.813.275.061.303 ,,,,645.813.275.061.303 ,,,,,,,,
,,,eventid (internal use),target,event_source,hurdle,productid,wwww,ProID,itemname,itemvalue (BP) ,itemvalue (USD) ,count,probability (%) ,Reward value (BP) ,Reward value (USD) ,Event value (sumprod),,,Efficiency,Monthly max BP,Monthly max USD,note
,,,,TOPUP,500 FC,11,x,500242303,658620,"Gói UT, JNM, DC OVR 111+ (+8)",  47.614.323.258.870 ,"4,31 ",1,"100,0000% ",47.614.323.258.870 ,"4,31 ","13,57 ",,,"1,28 ",,,
,,,,,,,x,500266520,,"Gói CU, 24EP 109+ (7~8)",  49.727.876.985.705 ,"4,50 ",1,"100,0000% ",49.727.876.985.705 ,"4,50 ",,,,,,,
,,,,,,,x,500271443,,Gói WG 116+ (+5),  5.406.432.560.137 ,"0,49 ",1,"100,0000% ",5.406.432.560.137 ,"0,49 ",,,,,,,
,,,,,,,x,500242845,,"Gói 24EP, MDL, UT 109+ (+8)",  32.299.738.718.275 ,"2,92 ",1,"100,0000% ",32.299.738.718.275 ,"2,92 ",,,,,,,
,,,,,,,x,500300683,,"15,000,000,000,000 BP",  15.000.000.000.000 ,"1,36 ",1,"100,0000% ",15.000.000.000.000 ,"1,36 ",,,,,,,
,,,,,,,x,502000239,,Phiếu giảm giá thuế các mùa 35%,  ,- ,3,"100,0000% ",- ,- ,,,,,,,
,,,,,,,x,502900023,,Thẻ bảo vệ nâng cấp các mùa (+1~+8) (1000 -50B),  ,- ,3,"100,0000% ",- ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOPUP,1000 FC,21,x,500266575,658621,"Gói CU, 24EP 108+ (+8)",  59.116.158.238.593 ,"5,35 ",1,"100,0000% ",59.116.158.238.593 ,"5,35 ","15,66 ",,,"1,37 ",,,
,,,,,,,x,500243174,,"Gói CU, 24EP, MDL, UT, JNM 108+ (+8)",  46.263.711.547.826 ,"4,18 ",1,"100,0000% ",46.263.711.547.826 ,"4,18 ",,,,,,,
,,,,,,,x,500235448,,"Gói MDL, UT, JNM chỉ số 108+ (+8)",  23.886.762.575.385 ,"2,16 ",1,"100,0000% ",23.886.762.575.385 ,"2,16 ",,,,,,,
,,,,,,,x,500263826,,Gói CC 106+ (8~9),  23.906.002.742.905 ,"2,16 ",1,"100,0000% ",23.906.002.742.905 ,"2,16 ",,,,,,,
,,,,,,,x,500300688,,"20,000,000,000,000 BP",  20.000.000.000.000 ,"1,81 ",1,"100,0000% ",20.000.000.000.000 ,"1,81 ",,,,,,,
,,,,,,,x,501800085,,ICON TM Coin,  ,- ,50,"100,0000% ",- ,- ,,,,,,,
,,,,,,,x,502000192,,Phiếu giảm giá thuế các mùa 40%,  ,- ,2,"100,0000% ",- ,- ,,,,,,,
,,,,,,,x,101800006,,Sổ huấn luyện cao cấp,  ,- ,1000,"100,0000% ",- ,,,,,,,,
,,,,,,,x,101800005,,Sổ huấn luyện trung cấp,  ,- ,1000,"100,0000% ",- ,- ,,,,,,,
,,,,,,,x,101800004,,Sổ huấn luyện sơ cấp,,,1000,"100,0000% ",,,,,,,,,
,,,,,,,x,502800028,,Thẻ nâng cấp lại các mùa (+1~+8) (1000 -100B),  ,- ,2,"100,0000% ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,TOPUP,2000 FC,43,,500233415,658622,Gói GRU 106+ (6~8),  71.239.719.612.826 ,"6,44 ",1,"100,0000% ",71.239.719.612.826 ,"6,44 ","29,18 ",,,"1,37 ",,,
,,,,,,x,,500230890,,"Gói JVA, FCA All (6~8)",  59.225.515.981.735 ,"5,36 ",1,"100,0000% ",59.225.515.981.735 ,"5,36 ",,,,,,,
,,,,,,x,,500243120,,"Gói CU, 24EP, MDL, UT 109+ (+8)",  53.477.817.317.835 ,"4,84 ",1,"100,0000% ",53.477.817.317.835 ,"4,84 ",,,,,,,
,,,,,,x,,500251027,,"Gói GRU, CU, 24EP 106+ (6~8)",  42.713.970.984.795 ,"3,86 ",1,"100,0000% ",42.713.970.984.795 ,"3,86 ",,,,,,,
,,,,,,x,,500242847,,"Gói 24EP, MDL, UT 111+ (+8)",  65.935.244.536.416 ,"5,96 ",1,"100,0000% ",65.935.244.536.416 ,"5,96 ",,,,,,,
,,,,,,x,,500300698,,"30,000,000,000,000 BP",  30.000.000.000.000 ,"2,71 ",1,"100,0000% ",30.000.000.000.000 ,"2,71 ",,,,,,,
,,,,,,x,,501800085,,ICON TM Coin,  ,- ,50,"100,0000% ",- ,- ,,,,,,,
,,,,,,x,,502000192,,Phiếu giảm giá thuế các mùa 40%,  ,- ,3,"100,0000% ",- ,,,,,,,,
,,,,,,x,x,10,,SC,  ,- ,1000,"100,0000% ",- ,- ,,,,,,,
,,,,,,x,,11,,TC,,,10000,"100,0000% ",,,,,,,,,
,,,,,,x,x,102600175,,Gói HLV đặc biệt cao cấp Tiền vệ (Xử lý bước một) (8),,- ,3,"100,0000% ",,,,,,,,,
,,,,,,x,x,102600121,,Gói HLV đặc biệt cao cấp Tiền đạo (Xử lý bước một) (8),,- ,3,"100,0000% ",,,,,,,,,
,,,,,,x,x,101600001,,Vé đổi CLB,  ,- ,3,"100,0000% ",,,,,,,,,
,,,,,,x,x,100600001,,Thẻ đổi tên,,,3,"100,0000% ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Duration: 20260601 -20260604,,,,,,,,,,,,,,,,,,,,,,
,PC&MOBILE,,,,,,,,,,  142.968.424.215.417 ,,,,143.072.729.981.299 ,,,,,,,,
,,,eventid (internal use),target,event_source,hurdle,productid,itemid,ProID,itemname,itemvalue (BP) ,itemvalue (USD) ,count,probability (%) ,Reward value (BP) ,Reward value (USD) ,Event value (sumprod),,,Efficiency,Monthly max BP,Monthly max USD,note 
,,,Goi qua 1 - lan 1 t05 2025,TOPUP,40 FC/MC,1,x,500262270,658708,"Gói UT, MDL, DC All (+8)",  7.138.317.443.051 ,"0,65 ",1,"100,0000% ",7.138.317.443.051 ,"0,65 ","1,41 ",,,"1,66 ",,,
,,,,,,x,x,500239606,,"Gói DC, CC OVR 106+ (+8)",  7.478.075.384.138 ,"0,68 ",1,"100,0000% ",7.478.075.384.138 ,"0,68 ",,,,,,,
,,,,,,x,x,500300388,,"1000,000,000,000 BP",  1.000.000.000.000 ,"0,09 ",1,"100,0000% ",1.000.000.000.000 ,"0,09 ",,,,,,,
,,,,,,x,x,500300080,,"5,000 SP",,- ,1,"100,0000% ",,- ,,,,,,,
,,,,,,x,x,102600002,,Gói HLV kỹ năng khéo léo (+5-+10),  ,- ,1,"100,0000% ",,,,,,,,,
,,,,,,x,x,101800004,,Sổ huấn luyện sơ cấp,  ,- ,300,"100,0000% ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,  , ,,,,,,,,,,,
,,,Goi qua 2 - lan 1 t05 2025,TOPUP,100 FC/MC,2,x,500243007,658709,"Gói 24EP, MDL, UT, JNM, DC, CC 106+ (+8)",  12.522.387.397.136 ,"1,13 ",1,"100,0000% ",12.522.387.397.136 ,"1,13 ","3,79 ",,,"1,78 ",,,
,,,,,,x,x,500242300,,"Gói UT, JNM, DC 108+ (+8)",  18.226.985.885.296 ,"1,65 ",1,"100,0000% ",18.226.985.885.296 ,"1,65 ",,,,,,,
,,,,,,x,x,500260192,,"Gói DC, JNM, HW, CC 104+ (+9)",  9.208.856.313.012 ,"0,83 ",1,"100,0000% ",9.208.856.313.012 ,"0,83 ",,,,,,,
,,,,,,x,x,500300398,,"2000,000,000,000 BP",  2.000.000.000.000 ,"0,18 ",1,"100,0000% ",2.000.000.000.000 ,"0,18 ",,,,,,,
,,,,,,x,x,501700305,,Gói may mắn CP,  ,- ,1,"100,0000% ",- ,- ,,,,,,,
,,,,,,x,x,501000004,,SVIP (1 Days),  ,- ,1,"100,0000% ",- ,- ,,,,,,,
,,,,,,x,x,500300080,,"5,000 SP",,,1,"100,0000% ",,,,,,,,,
,,,,,,x,x,10,,SC,  ,- ,500,"100,0000% ",,,,,,,,,
,,,,,,x,x,101800005,,Sổ huấn luyện trung cấp,  ,- ,300,"100,0000% ",,,,,,,,,
,,,,,,x,x,202300134,,2000 CP,,,1,"100,0000% ",,,,,,,,,
,,,,,,x,x,102600002,,Gói HLV kỹ năng khéo léo (+5-+10),,,1,"100,0000% ",,,,,,,,,
,,,,,,x,x,101600001,,Vé đổi CLB,,,1,"100,0000% ",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,  , ,,,- ,- ,,,,,,,
,,,Goi qua 3 - lan 1 t05 2025,TOPUP,200 FC/MC,4,x,500272907,658710,Gói PTG ALL,  52.152.882.941 ,"0,00 ",3,"100,0000% ",156.458.648.824 ,"0,01 ","7,49 ",,,"1,76 ",,,
,,,,,,x,x,500243161,,"Gói CU, 24EP, MDL, UT 106+ (7~8)",  22.225.108.029.879 ,"2,01 ",1,"100,0000% ",22.225.108.029.879 ,"2,01 ",,,,,,,
,,,,,,x,x,500242790,,"Gói 24EP, MDL 109+ (+8)",  26.593.236.859.863 ,"2,16 ",1,"100,0000% ",26.593.236.859.863 ,"2,16 ",,,,,,,
,,,,,,x,x,500262222,,"Gói UT, MDL, DC 104+ (8~9)",  32.523.304.020.101 ,"2,94 ",1,"100,0000% ",32.523.304.020.101 ,"2,94 ",,,,,,,
,,,,,,x,x,500300418,,"4000,000,000,000 BP",  4.000.000.000.000 ,"0,36 ",1,"100,0000% ",4.000.000.000.000 ,"0,36 ",,,,,,,
,,,,,,x,x,502800026,,Thẻ nâng cấp lại các mùa (+1~+8) (1000 -40B),  ,- ,1,"100,0000% ",- ,- ,,,,,,,
,,,,,,x,x,502000007,,Phiếu giảm giá thuế các mùa 30%,  , ,1,"100,0000% ", , ,,,,,,,
,,,,,,x,x,202300134,,2000 CP,  , ,1,"100,0000% ",- ,- ,,,,,,,
,,,,,,x,x,11,,TC,,,5000,"100,0000% ",,,,,,,,,
,,,,,,x,x,102600073,,Gói HLV GK đặc biệt (8),,,1,"100,0000% ",,,,,,,,,
,,,,,,x,x,102600002,,Gói HLV kỹ năng khéo léo (+5-+10),,,2,"100,0000% ",,,,,,,,,
